set MFRS := 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20;

set HORIZON := 1 2 3 4 5 6 7;

:             price[v,i,t] quant[v,i,t]    :=
DTP-IPV  11 4     0            0
DTP-IPV  11 5     0            0
DTP-IPV  11 6     0            0
DTP-IPV  11 7     0            0
DTP-IPV  12 1     0            0
DTP-IPV  12 2     0            0
DTP-IPV  12 3     0            0
DTP-IPV  12 4     0            0
DTP-IPV  12 5     0            0
DTP-IPV  12 6     0            0
DTP-IPV  12 7     0            0
DTP-IPV  13 1     0            0
DTP-IPV  13 2     0            0
DTP-IPV  13 3     0            0
DTP-IPV  13 4     0            0
DTP-IPV  13 5     0            0
DTP-IPV  13 6     0            0
DTP-IPV  13 7     0            0
DTP-IPV  14 1     0            0
DTP-IPV  14 2     0            0
DTP-IPV  14 3     0            0
DTP-IPV  14 4     0            0
DTP-IPV  14 5     0            0
DTP-IPV  14 6     0            0
DTP-IPV  14 7     0            0
DTP-IPV  15 1     0            0
DTP-IPV  15 2     0            0
DTP-IPV  15 3     0            0
DTP-IPV  15 4     0            0
DTP-IPV  15 5     0            0
DTP-IPV  15 6     0            0
DTP-IPV  15 7     0            0
DTP-IPV  16 1     0            0
DTP-IPV  16 2     0            0
DTP-IPV  16 3     0            0
DTP-IPV  16 4     0            0
DTP-IPV  16 5     0            0
DTP-IPV  16 6     0            0
DTP-IPV  16 7     0            0
DTP-IPV  17 1    17.7          7.26905
DTP-IPV  17 2     0            0
DTP-IPV  17 3     0            0
DTP-IPV  17 4     0            0
DTP-IPV  17 5    17.7          7.60271
DTP-IPV  17 6     0            0
DTP-IPV  17 7    17.7          7.79533
DTP-IPV  18 1     0            0
DTP-IPV  18 2     0            0
DTP-IPV  18 3     0            0
DTP-IPV  18 4     0            0
DTP-IPV  18 5     0            0
DTP-IPV  18 6     0            0
DTP-IPV  18 7     0            0
DTP-IPV  19 1     0            0
DTP-IPV  19 2     0            0
DTP-IPV  19 3     0            0
DTP-IPV  19 4     0            0
DTP-IPV  19 5     0            0
DTP-IPV  19 6     0            0
DTP-IPV  19 7     0            0
DTP-IPV  20 1     0            0
DTP-IPV  20 2     0            0
DTP-IPV  20 3     0            0
DTP-IPV  20 4     0            0
DTP-IPV  20 5     0            0
DTP-IPV  20 6     0            0
DTP-IPV  20 7     0            0
DTP-HepB 1  1     0            0
DTP-HepB 1  2     0            0
DTP-HepB 1  3     0            0
DTP-HepB 1  4     0            0
DTP-HepB 1  5     0            0
DTP-HepB 1  6     0            0
DTP-HepB 1  7     0            0
DTP-HepB 2  1     0            0
DTP-HepB 2  2     0            0
DTP-HepB 2  3     0            0
DTP-HepB 2  4     0            0
DTP-HepB 2  5     0            0
DTP-HepB 2  6     0            0
DTP-HepB 2  7     0            0
DTP-HepB 3  1     0            0
DTP-HepB 3  2     0            0
DTP-HepB 3  3     0            0
DTP-HepB 3  4     0            0
DTP-HepB 3  5     0            0
DTP-HepB 3  6     0            0
DTP-HepB 3  7     0            0
DTP-HepB 4  1     0            0
DTP-HepB 4  2     0            0
DTP-HepB 4  3     0            0
DTP-HepB 4  4     0            0
DTP-HepB 4  5     0            0
DTP-HepB 4  6     0            0
DTP-HepB 4  7     0            0
DTP-HepB 5  1     0            0
DTP-HepB 5  2     0            0
DTP-HepB 5  3     0            0
DTP-HepB 5  4     0            0
DTP-HepB 5  5     0            0
DTP-HepB 5  6     0            0
DTP-HepB 5  7     0            0
